ARTIST_ID,ARTIST_MDA,START_LETTER
745,"Bernik, Janez",B
746,"Berry, John",B
2234,"Berthot, Jake",B
34,"Bettes, John",B
747,"Beuys, Joseph",B
748,"Bevan, Robert",B
2371,"Bevan, Tony",B
35,"Bewick, Thomas",B
5469,"Bhimji, Zarina",B
749,"Bicât, André",B
2296,"Bickerton, Ashley",B
750,"Biederman, Charles",B
15999,"Biermann, Aenne",B
1658,"Bigge, John",B
12110,"Bill, Simon",B
2749,"Billingham, Richard",B
751,"Binning, Bertram",B
752,"Bionda, Mario",B
753,"Birch, Samuel John Lamorna",B
36,"Bird, Edward",B
754,"Bird, John",B
16782,"Birdhead (Ji Weiyu, born 1980; Song Tao, born 1979)",B
755,"Bishop, Henry",B
756,"Bissier, Julius",B
757,"Bissière, Roger",B
758,"Bissill, George",B
6500,"Bjørlo, Per Inge",B
9260,Black Audio Film Collective,B
11563,"Black, Karla",B
759,"Black, Sheila",B
760,"Blackadder, Elizabeth",B
761,"Blacker, Kate",B
2245,"Blais, Jean-Charles",B
37,"Blake, Benjamin",B
762,"Blake, John",B
763,"Blake, Peter",B
38,"Blake, Robert",B
39,"Blake, William",B
764,"Blamey, Norman",B
765,"Blanche, Jacques-Emile",B
766,"Bland, Beatrice",B
767,"Blaymires, Charles Henry",B
2759,"Bleckner, Ross",B
3652,"Blees Luxemburg, Rut",B
768,"Bliss, Douglas Percy",B
769,"Bloch, Martin",B
13711,"Blom, Ansuya",B
2229,"Blore, Edward",B
770,"Blow, Sandra",B
13048,"Bo, Hou",B
771,"Boccioni, Umberto",B
772,"Bochner, Mel",B
773,"Bock, Théophile de",B
774,"Boden, Neville",B
40,"Boehm, Sir Joseph Edgar",B
7713,"Boetti, Alighiero",B
9822,"Bohm, Dorothy",B
775,"Boisvert, Gilles",B
2740,"Boitard, Louis Philippe",B
2305,"Boltanski, Christian",B
776,"Bolus, Michael",B
777,"Bomberg, David",B
2586,"Bond, Henry",B
778,"Bone, Sir Muirhead",B
779,"Bone, Stephen",B
780,"Bonechi, Lorenzo",B
41,"Bonington, Richard Parkes",B
781,"Bonnard, Pierre",B
782,"Bontecou, Lee",B
13195,"Booth, L",B
2702,"Borland, Christine",B
783,"Bornfriend, Jacob",B
784,"Borofsky, Jonathan",B
42,"Borseller, Peter",B
785,"Boshier, Derek",B
786,"Bosman, Richard",B
787,"Boswell, James",B
2684,"Boty, Pauline",B
43,"Bough, Samuel",B
44,"Boughton, George Henry",B
788,"Boumans, Bart",B
789,"Bourdelle, Antoine",B
2351,"Bourgeois, Louise",B
2707,"Bourne, James",B
790,"Bouvier de Cachard, Comte Régis Guy de",B
4381,"Bowen, Denis",B
45,"Bower, Edward",B
791,"Bowey, Olwyn",B
46,"Bowler, Henry Alexander",B
792,"Bowling, Frank",B
793,"Box, E.",B
47,"Boxall, Sir William",B
6550,"Boxer, Stanley",B
48,"Boyce, George Price",B
7630,"Boyce, Martin",B
794,"Boyce, Sonia",B
795,"Boyd and Evans, Fionnuala and Leslie",B
1249,"Boyd Harte, Glynn",B
796,"Boyd, Arthur",B
797,"Boyle, Mark",B
2482,"Boyne, John",B
49,"Boys, Thomas Shotter",B
50,"Brabazon, Hercules Brabazon",B
8804,"Braden, Norah",B
9242,"Bradford, Mark",B
798,"Bradley, Martin",B
51,"Bramley, Frank",B
799,"Brammer, Leonard",B
800,"Brancusi, Constantin",B
2414,"Brandard, Robert",B
9570,"Brandenburg, Ulla von",B
2742,"Brandoin, Michael-Vincent Charles",B
801,"Brandt, Bill",B
802,"Brangwyn, Sir Frank",B
3094,"Branson, Clive",B
52,"Branwhite, Nathan",B
803,"Braque, Georges",B
11259,Brassai,B
804,"Bratby, John",B
2719,"Bravo, Manuel Álvarez",B
805,"Breakwell, Ian",B
564,"Bree, Rev. William",B
806,"Breeze, Claude",B
807,"Breton, André",B
808,"Brett, Bernard",B
53,"Brett, John",B
809,"Brett, The Hon. Dorothy",B
54,"Bridell, Frederick Lee",B
810,"Bridgewater, Alan",B
811,"Briggs, Ernest",B
55,"Briggs, Henry Perronet",B
2415,"Bright, Henry",B
812,"Brill, Frederick",B
2671,"Brill, Reginald",B
813,"Brisley, Stuart",B
2638,British (?) School,B
61,British (?) School 19th Century,B
56,British School 16th century,B
57,British School 17th century,B
58,British School 17th or 18th century,B
59,British School 18th century,B
60,British School 19th century,B
2548,British School 20th century,B
62,"Brock, Sir Thomas",B
11347,"Brockhurst, Gerald",B
814,"Brodzky, Horace",B
11761,"Bronstein, Pablo",B
815,"Broodthaers, Marcel",B
816,"Brook, Peter",B
63,"Brooke, William Henry",B
817,"Brooker, William",B
64,"Brooking, Charles",B
818,"Brooks, James",B
10428,"Broom, Christina",B
16107,"Broomberg, Adam",B
819,"Brough, Robert",B
820,"Brough, Romey",B
8785,"Brouwn, Stanley",B
2703,"Brown, Cecily",B
2587,"Brown, Don",B
65,"Brown, Ford Madox",B
66,"Brown, Frederick",B
67,"Brown, Kellock",B
822,"Brown, Mortimer",B
823,"Brown, Ralph",B
821,"Brown, Sir Arnesby",B
2562,"Browne, Hablot Knight",B
824,"Browne, Henriette",B
11982,"Bruguera, Tania",B
825,"Brundrit, Reginald",B
3824,"Brunias, Agostino",B
2264,"Brüning, Peter",B
826,"Brunsdon, John",B
827,"Brus, Günter",B
14432,"Bruscky, Paulo",B
11951,"Bruton, Jo",B
9098,"Bryce, Fernando",B
2738,"Buchanan, Roderick",B
2276,"Buchheister, Carl",B
14637,"Buchler, Pavel",B
2483,"Buck, Adam",B
11696,"Buckingham, Matthew",B
828,"Buckley, Stephen",B
829,"Buffet, Bernard",B
830,"Buhler, Robert",B
9058,"Bulloch, Angela",B
2550,"Bunbury, Charles",B
2416,"Bunbury, Henry William",B
