id,accession_number,artist,artistId,title,dateText,creditLine,year,dimensions,width,height,depth,units,inscription,thumbnailUrl
97680,AR00312,"Warhol, Andy",2121,Self-Portrait with Fright Wig,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,image: 94 x 72 mm,94,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00312_8.jpg
97681,AR00313,"Warhol, Andy",2121,Self-Portrait with Fright Wig,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00313_8.jpg
97682,AR00314,"Warhol, Andy",2121,Self-Portrait with Fright Wig,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00314_8.jpg
97683,AR00315,"Warhol, Andy",2121,Self-Portrait with Fright Wig,1986,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1986,image: 95 x 72 mm,95,72,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00315_8.jpg
97684,AR00316,"Warhol, Andy",2121,Gilbert and George,1976,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1976,"image, each: 95 x 72 mm",each:,95,72,mm,,http://www.tate.org.uk/art/images/work/AR/AR00316_8.jpg
97685,AR00317,"Warhol, Andy",2121,Gilbert and George,1976,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1976,"image, each: 95 x 72 mm",each:,95,72,mm,,http://www.tate.org.uk/art/images/work/AR/AR00317_8.jpg
97844,AR00318,"Warhol, Andy",2121,Andy Warhol's BAD,,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",,support: 760 x 1014 mm,760,1014,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00318_8.jpg
97845,AR00319,"Warhol, Andy",2121,Marilyn Monroe,1962,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1962,support: 559 x 724 mm,559,724,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00319_8.jpg
97846,AR00320,"Warhol, Andy",2121,Liz,1965,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1965,support: 635 x 708 mm,635,708,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00320_8.jpg
97847,AR00321,"Warhol, Andy",2121,Andy Warhol's TRASH,1971,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1971,support: 840 x 590 mm,840,590,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00321_8.jpg
97848,AR00322,"Warhol, Andy",2121,Andy Warhol's PORK,1971,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1971,support: 764 x 510 mm,764,510,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00322_8.jpg
97849,AR00323,"Warhol, Andy",2121,Conspiracy Means to Breathe Together,1969,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1969,support: 860 x 558 mm,860,558,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00323_8.jpg
97850,AR00324,"Warhol, Andy",2121,Steve Paul's THE SCENE Poster,1966,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1966,"support: 556 x 355 mm
frame: 625 x 422 mm",556,355,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00324_8.jpg
97851,AR00325,"Warhol, Andy",2121,Chelsea Girls,1967,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1967,"support: 762 x 510 mm
frame: 826 x 580 x 38 mm",762,510,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00325_8.jpg
97852,AR00326,"Warhol, Andy",2121,Man Ray,1974,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1974,"support: 998 x 688 mm
frame: 1080 x 778 x 38 mm",998,688,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00326_8.jpg
97853,AR00327,"Warhol, Andy",2121,Andy Warhol Paul Morrissey and Viva!,c.1967,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1967,support: 599 x 388 mm,599,388,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00327_8.jpg
97854,AR00328,"Warhol, Andy",2121,Andy Warhol's 'The Chelsea Girls',1966,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1966,support: 744 x 574 mm,744,574,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00328_8.jpg
97855,AR00329,"Warhol, Andy",2121,Andy Warhol's Frankenstein,1974,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1974,support: 1042 x 688 mm,1042,688,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00329_8.jpg
97856,AR00330,"Warhol, Andy",2121,Russell Means,1977,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,"support: 1276 x 890 mm
frame: 1374 x 990 x 38 mm",1276,890,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00330_8.jpg
97857,AR00331,"Warhol, Andy",2121,Mao,1977,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,support: 940 x 610 mm,940,610,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00331_8.jpg
97858,AR00332,"Warhol, Andy",2121,Andy Warhol's Lonesome Cowboys,1978,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1978,"support: 836 x 592 mm
frame: 920 x 675 x 38 mm",836,592,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00332_8.jpg
