id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,totalWorks
5711,"Avedon, Richard",Male,1923-2004,1923,2004,"New York, United States","San Antonio, United States",1
10764,"Avery, Charles",Male,born 1973,1973,,"Oban, United Kingdom",,1
678,"Avery, Milton",Male,1893-1965,1893,1965,"Altmar, United States","New York, United States",2
2714,"Aviline, François Antoine",Male,1727-1780,,,,,1
2479,"Aylesford, Heneage Finch, Fifth Earl of",Male,1786-1859,,,,,1
2480,"Aylesford, Heneage Finch, Fourth Earl of",Male,1751-1812,,,,,50
679,"Ayot, Pierre",Male,born 1943,1943,,"Québec, Canada","Québec, Canada",1
680,"Ayres, OBE Gillian",Female,born 1930,1930,,"London, United Kingdom",,15
681,"Ayrton, Michael",Male,1921-1975,1921,,"London, United Kingdom",,11
14743,"Baalbaki, Ayman",Male,born 1975,1975,,"Marj Uyun, Al-Lubnan",,1
13866,"Bäckström, Miriam",Female,born 1967,1967,,"Stockholm, Sverige",,2
682,"Bacon, Francis",Male,1909-1992,1909,1992,"Dublin, Éire","Madrid, España",57
18070,"Bacon, John",,1740-1799,,,,,1
683,"Bacon, John Henry F.",Male,1868-1915,1868,,"London, United Kingdom",,1
2370,"Bacon, Sir Nathaniel",Male,1585-1627,,,,,1
12918,"Baehnisch, Ruth",,1910-1997,,,,,1
684,"Baer, Jo",Female,born 1929,1929,,"Seattle, United States",,1
685,"Baertling, Olle",Male,1911-1981,1911,1981,"Halmstad, Sverige","Stockholm, Sverige",2
16,"Baily, Edward Hodges",Male,1788-1867,1788,1867,"Bristol, United Kingdom","Islington, United Kingdom",2
686,"Baj, Enrico",Male,1924-2003,1924,,"Milano, Italia",,2
13678,"Bakhshi Moakhar, Mahmoud",Male,born 1977,1977,,"Tehran, Îran",,1
687,"Baldessari, John",Male,born 1931,1931,,"National City, United States",,13
2360,"Balka, Miroslaw",Male,born 1958,1958,,"Warszawa, Polska",,12
688,"Balla, Giacomo",Male,1871-1958,1871,1958,"Torino, Italia","Roma, Italia",1
12038,"Ballen, Roger",Male,born 1950,1950,,"New York, United States",,1
5373,"Baltz, Lewis",Male,born 1945,1945,,"Newport Beach, United States",,12
690,"Banc, Jef",Male,born 1930,1930,,"Paris, France",,1
2687,"Banner, Fiona",Female,born 1966,1966,,"England, United Kingdom",,7
691,"Banting, John",Male,1902-1971,1902,1971,"Chelsea, United Kingdom","Hastings, United Kingdom",7
692,"Baran, Stefan",Male,born 1922,1922,,"Dormans, France",,2
4731,"Barclay, Claire",Female,born 1968,1968,,"Paisley, United Kingdom",,4
18,"Barenger, James",Male,1780-1831,1780,1831,"London, United Kingdom","London, United Kingdom",1
12686,"Barham, Anna",Female,born 1974,1974,,"Sutton Coldfield, United Kingdom",,1
693,"Barker, Clive",Male,born 1940,1940,,"Luton, United Kingdom",,4
694,"Barker, Margaret",Female,born 1907,1907,,"Sydenham, United Kingdom",,1
19,"Barker, Thomas, of Bath",Male,1769-1847,1769,1847,"Pontypool, United Kingdom","Bath, United Kingdom",6
695,"Barlach, Ernst",Male,1870-1938,1870,1938,"Wedel, Deutschland","Rostock, Deutschland",1
20,"Barlow, Francis",Male,?1626-1704,,1704,,"London, United Kingdom",109
10908,"Barlow, Phyllida",Female,born 1944,1944,,"Newcastle upon Tyne, United Kingdom",,17
2476,"Barnard, Rev. William Henry",Male,1767 or 9-1818,,,,,12
2362,"Barney, Matthew",Male,born 1967,1967,,"San Francisco, United States",,2
696,"Barni, Roberto",Male,born 1939,1939,,"Pistoia, Italia",,2
697,"Barns-Graham, Wilhelmina",Female,1912-2004,1912,,"Saint Andrews, United Kingdom",,30
14953,"Barrada, Yto",Female,born 1971,1971,,"Paris, France",,1
22,"Barret, George, Junior",Male,1767-1842,1767,1842,"London, United Kingdom","London, United Kingdom",4
21,"Barret, George, Senior",Male,1728 or 32-1784,1728,1784,"Dublin, Éire","London, United Kingdom",3
10168,"Barriball, Anna",Female,born 1972,1972,,"Plymouth, United Kingdom",,4
23,"Barron, Hugh",Male,1747-1791,,,,,1
14311,"Barros, Geraldo de",Male,born 1923,,,,,4
2477,"Barrow, Joseph Charles",Male,active 1789-1802,,,,,1
24,"Barry, James",Male,1741-1806,1741,1806,"Cork, Éire","London, United Kingdom",38
6882,"Bartana, Yael",Female,born 1970,1970,,"Afula, Yisra'el",,1
2678,"Barth, Uta",Female,born 1958,1958,,"Berlin, Deutschland",,12
698,"Bartlett, Jennifer",Female,born 1941,1941,,"Long Beach, United States",,2
2478,"Bartolozzi, Francesco",Male,1727-1815,1727,1815,"Firenze, Italia","Lisboa, Portugal",1
6217,"Basbaum, Ricardo",Male,born 1961,1961,,"São Paulo, Brasil",,1
699,"Baselitz, Georg",Male,born 1938,1938,,"Sachsen, Deutschland",,69
700,"Baskin, Leonard",Male,1922-2000,1922,2000,"New Brunswick, United States","Northampton, United States",1
4915,"Batchelor, David",Male,born 1955,1955,,"Dundee, United Kingdom",,2
25,"Bateman, James",Male,1815-1849,,,,,1
701,"Bateman, James",Male,1893-1959,1893,1959,"Kendal, United Kingdom","London, United Kingdom",3
26,"Bates, Harry",Male,1850-1899,1850,1899,"Stevenage, United Kingdom","Saint John's Wood, United Kingdom",3
702,"Bates, Maxwell",Male,1906-1980,1906,1980,"Calgary, Canada","Victoria, Canada",1
8807,"Batterham, Richard",Male,born 1936,1936,,United Kingdom,,1
703,"Bauchant, André",Male,1873-1958,1873,1958,"Château-Renault, France","Montoire-sur-le-Loir, France",2
704,"Bauer, Marius",Male,1867-1932,1867,1932,"s Gravenhage, Nederland","Amsterdam, Nederland",1
705,"Baumeister, Willi",Male,1889-1955,1889,1955,"Stuttgart, Deutschland","Stuttgart, Deutschland",1
706,"Baumgarten, Lothar",Male,born 1944,1944,,"Rheinsberg, Deutschland",,12
707,"Bawden, Edward",Male,1903-1989,1903,1989,Braintree,"Essex, United Kingdom",23
